Date,Date,Close Price,Price Difference Class
2018-04-18 02:00:00,2018-04-18 02:00:00,7910.66,1
2018-04-18 03:00:00,2018-04-18 03:00:00,7931.91,0
2018-04-18 04:00:00,2018-04-18 04:00:00,7920.53,0
2018-04-18 05:00:00,2018-04-18 05:00:00,7917.25,1
2018-04-18 06:00:00,2018-04-18 06:00:00,8122.65,0
2018-04-18 07:00:00,2018-04-18 07:00:00,8111.61,0
2018-04-18 08:00:00,2018-04-18 08:00:00,8089.13,1
2018-04-18 09:00:00,2018-04-18 09:00:00,8098.25,0
2018-04-18 10:00:00,2018-04-18 10:00:00,8093.04,1
2018-04-18 11:00:00,2018-04-18 11:00:00,8106.64,0
2018-04-18 12:00:00,2018-04-18 12:00:00,8093.83,1
2018-04-18 13:00:00,2018-04-18 13:00:00,8098.98,0
2018-04-18 14:00:00,2018-04-18 14:00:00,8002.5,1
2018-04-18 15:00:00,2018-04-18 15:00:00,8005.96,1
2018-04-18 16:00:00,2018-04-18 16:00:00,8119.11,0
2018-04-18 17:00:00,2018-04-18 17:00:00,8099.94,1
2018-04-18 18:00:00,2018-04-18 18:00:00,8106.96,1
2018-04-18 19:00:00,2018-04-18 19:00:00,8114.44,1
2018-04-18 20:00:00,2018-04-18 20:00:00,8188.5,1
2018-04-18 21:00:00,2018-04-18 21:00:00,8193.25,0
2018-04-18 22:00:00,2018-04-18 22:00:00,8155.12,1
2018-04-18 23:00:00,2018-04-18 23:00:00,8163.06,0
2018-04-19 00:00:00,2018-04-19 00:00:00,8151.24,1
2018-04-19 01:00:00,2018-04-19 01:00:00,8183.75,1
2018-04-19 02:00:00,2018-04-19 02:00:00,8212.71,0
2018-04-19 03:00:00,2018-04-19 03:00:00,8189.86,0
2018-04-19 04:00:00,2018-04-19 04:00:00,8187.72,0
2018-04-19 05:00:00,2018-04-19 05:00:00,8175.7,0
2018-04-19 06:00:00,2018-04-19 06:00:00,8170.96,0
2018-04-19 07:00:00,2018-04-19 07:00:00,8159.91,1
2018-04-19 08:00:00,2018-04-19 08:00:00,8176.43,1
2018-04-19 09:00:00,2018-04-19 09:00:00,8219.1,1
2018-04-19 10:00:00,2018-04-19 10:00:00,8224.51,0
2018-04-19 11:00:00,2018-04-19 11:00:00,8198.34,1
2018-04-19 12:00:00,2018-04-19 12:00:00,8233.08,0
2018-04-19 13:00:00,2018-04-19 13:00:00,8222.68,1
2018-04-19 14:00:00,2018-04-19 14:00:00,8225.52,0
2018-04-19 15:00:00,2018-04-19 15:00:00,8222.43,1
2018-04-19 16:00:00,2018-04-19 16:00:00,8235.67,1
2018-04-19 17:00:00,2018-04-19 17:00:00,8262.06,1
2018-04-19 18:00:00,2018-04-19 18:00:00,8267.91,0
2018-04-19 19:00:00,2018-04-19 19:00:00,8248.04,0
2018-04-19 20:00:00,2018-04-19 20:00:00,8234.04,1
2018-04-19 21:00:00,2018-04-19 21:00:00,8270.8,0
2018-04-19 22:00:00,2018-04-19 22:00:00,8258.52,1
2018-04-19 23:00:00,2018-04-19 23:00:00,8275.36,1
2018-04-20 00:00:00,2018-04-20 00:00:00,8348.44,1
2018-04-20 01:00:00,2018-04-20 01:00:00,8360.25,0
2018-04-20 02:00:00,2018-04-20 02:00:00,8328.19,1
2018-04-20 03:00:00,2018-04-20 03:00:00,8332.15,0
2018-04-20 04:00:00,2018-04-20 04:00:00,8262.59,1
2018-04-20 05:00:00,2018-04-20 05:00:00,8270.76,1
2018-04-20 06:00:00,2018-04-20 06:00:00,8305.97,1
2018-04-20 07:00:00,2018-04-20 07:00:00,8325.42,0
2018-04-20 08:00:00,2018-04-20 08:00:00,8307.21,1
2018-04-20 09:00:00,2018-04-20 09:00:00,8315.69,1
2018-04-20 10:00:00,2018-04-20 10:00:00,8494.06,1
2018-04-20 11:00:00,2018-04-20 11:00:00,8520.07,0
2018-04-20 12:00:00,2018-04-20 12:00:00,8512.34,0
2018-04-20 13:00:00,2018-04-20 13:00:00,8502.03,0
