tweet id,tweet_text,Time
9.95E+17,"RT @Thr_Official: #THR Journey 
$13.76 May 7 Day end 
May 8 - Grand Day 
Pic 1 $48 10.00 AM
Pic 2 $143.88 2 PM
Pic 3 $215 6 PM
#Listing #Pr…",2018-05-11 19:07:00
9.95E+17,"RT @UTEMISUTS: ICO First Period ends April 1st, 2018 Bonus: 30% 
Additional Bonus for participating: +&gt; 10.00 ETH: additional 15% +&gt; 50.00…",2018-05-11 17:09:00
9.95E+17,"RT @CryptoPriceCall: $BTC : -0.59%📉 8594$
Top (last h):
$HTML : +18.42%📈 5st
$WHL : +14.75%📈 425st
$BRM : +14.16%📈 707st
$XPA : +12.09%📈 29…",2018-05-11 16:16:00
9.95E+17,"RT @CryptoPriceCall: $BTC : -0.59%📉 8594$
Top (last h):
$HTML : +18.42%📈 5st
$WHL : +14.75%📈 425st
$BRM : +14.16%📈 707st
$XPA : +12.09%📈 29…",2018-05-11 16:07:00
9.95E+17,"$BTC : -0.59%📉 8594$
Top (last h):
$HTML : +18.42%📈 5st
$WHL : +14.75%📈 425st
$BRM : +14.16%📈 707st
$XPA : +12.09%📈… https://t.co/1wOrtnbh8a",2018-05-11 16:00:00
9.95E+17,"RT @Thr_Official: #THR Journey 
$13.76 May 7 Day end 
May 8 - Grand Day 
Pic 1 $48 10.00 AM
Pic 2 $143.88 2 PM
Pic 3 $215 6 PM
#Listing #Pr…",2018-05-11 15:57:00
9.95E+17,Debate between @ethereumJoseph and @Nouriel at the @fluiditysummit. Starts at 3:10:00 https://t.co/UWimsNADEn… https://t.co/AEv0dXfFMt,2018-05-11 14:43:00
9.95E+17,"#Cryptos: 

#BTC 8583.19$ | 7188.09€
#XRP 0.68$ | 0.57€
#ETH 678.10$ | 567.88€
#LTC 139.03$ | 116.43€
#DASH 392.63$… https://t.co/61L11uivcK",2018-05-11 13:48:00
9.95E+17,"RT @Thr_Official: #THR Journey 
$13.76 May 7 Day end 
May 8 - Grand Day 
Pic 1 $48 10.00 AM
Pic 2 $143.88 2 PM
Pic 3 $215 6 PM
#Listing #Pr…",2018-05-11 13:24:00
9.95E+17,"RT @tihosay: Tihosay Pre-ICO will begin April 15th,2018 at 10:00:00 UTC.

https://t.co/guLMSGZZn7
https://t.co/ZSQarBXSSy

#tihosay #ICO #b…",2018-05-11 12:10:00
9.95E+17,"RT @lendchain: In the process of participating in the internal testing, we need your help to fix the bugs.

There will be an opportunity to…",2018-05-11 11:25:00
9.95E+17,"$BTC : +0.36%📈 8760$
Top (last h):
$CUBE : +49.95%📈 2st
$VIPS : +16.50%📈 7st
$OCC : +14.86%📈 30711st
$PPP : +10.76%… https://t.co/pJOli5dMAE",2018-05-11 11:00:00
9.95E+17,"$BTC : +0.06%📈 8776$
Top (last h):
$PST : +11.00%📈 8651st
$PFR : +10.52%📈 1554st
$ALIS : +9.90%📈 2132st
$AIT : +8.3… https://t.co/Vdk52hJ67l",2018-05-11 10:30:00
